Job Title,Location,Salary,Monthly Salary,Locality,City,State
HR Recruiter (IT/Non IT) Freshers,"Bengaluru, Karnataka","₹2,50,000 a year",250000.0,,Bengaluru,Karnataka
Sales Executive- Freshers can apply,"Coimbatore, Tamil Nadu","₹15,000 - ₹20,000 a month",17500.0,,Coimbatore,Tamil Nadu
Coding Freshers,India,Not specified,,India,India,India
Data Mining (Freshers from Nagpur Location Only),"Nagpur, Maharashtra","₹8,500 - ₹12,000 a month",10250.0,,Nagpur,Maharashtra
Power App Trainee (Freshers),"Thiruvananthapuram, Kerala","₹12,000 - ₹25,000 a month",18500.0,,Thiruvananthapuram,Kerala
Technical fresher,"Noida, Uttar Pradesh",Not specified,,,Noida,Uttar Pradesh
Data Entry Operator Fresher,"Udyog Bhawan, Delhi, Delhi","₹16,000 - ₹20,000 a month",18000.0,Udyog Bhawan,Delhi,Delhi
Medical Biller - DME USA,"Delhi, Delhi","₹20,000 a month",20000.0,,Delhi,Delhi
Logistics Executive,"Kochi, Kerala",Not specified,,,Kochi,Kerala
Area Executive (Agri / Milk Procurement),"Bijawar, Madhya Pradesh",Not specified,,,Bijawar,Madhya Pradesh
Full Stack Development Intern,"Lucknow, Uttar Pradesh","Up to ₹3,00,000 a year",,,Lucknow,Uttar Pradesh
Data Entry Operator,"Balasore, Orissa",Not specified,,,Balasore,Orissa
Marketing Intern,"Ramanathapuram, Tamil Nadu","₹8,000 - ₹10,000 a month",9000.0,,Ramanathapuram,Tamil Nadu
Management Trainee- Investments & Life Insurance for Australian Shift (Vadodara Only),"Vadodara, Gujarat","₹17,000 - ₹30,000 a month",23500.0,,Vadodara,Gujarat
Data entry fresher apply now,"Noida, Uttar Pradesh","₹9,121.02 - ₹36,967.77 a month",23044.394999999997,,Noida,Uttar Pradesh
Personal assistant,"Delhi, Delhi","₹30,000 - ₹35,000 a month",32500.0,,Delhi,Delhi
Greenpeace NGO - Fundraiser,"Bengaluru, Karnataka","₹27,000 - ₹30,000 a month",28500.0,,Bengaluru,Karnataka
Fresher_Mumbai_Bhartiyavidya peeth,"Mumbai, Maharashtra",Not specified,,,Mumbai,Maharashtra
Programmer,"Ashok Vihar, Delhi, Delhi","₹22,000 - ₹25,000 a month",23500.0,Ashok Vihar,Delhi,Delhi
Freshers - Content writter,"Chinna Chokkikulam, Madurai, Tamil Nadu","₹10,000 - ₹15,000 a month",12500.0,Chinna Chokkikulam,Madurai,Tamil Nadu
Receptionist,"Thrissur, Kerala",Not specified,,,Thrissur,Kerala
Service Engineer( Freshers can apply),"Coimbatore, Tamil Nadu","₹12,000 - ₹25,000 a month",18500.0,,Coimbatore,Tamil Nadu
Business Development Associate,"Bengaluru, Karnataka","₹18,000 - ₹28,000 a month",23000.0,,Bengaluru,Karnataka
Junior Software Engineer,"Chennai, Tamil Nadu","From ₹2,14,538.36 a year",,,Chennai,Tamil Nadu
Wanted Freshers from Nagamalai Pudukottai and nearby areas,"Madurai, Tamil Nadu","₹8,000 - ₹10,000 a month",9000.0,,Madurai,Tamil Nadu
Duty Officer,"Kochi, Kerala","₹18,000 - ₹23,000 a month",20500.0,,Kochi,Kerala
Front Office Executive,"Sholinghur, Tamil Nadu","From ₹16,000 a month",,,Sholinghur,Tamil Nadu
Fresher Operations Analyst (Construction),"Bengaluru, Karnataka","₹5,50,000 - ₹6,00,000 a year",575000.0,,Bengaluru,Karnataka
Flutter Developer Intern,Remote,"₹13,192.39 - ₹62,082.66 a month",37637.525,Remote,Remote,Remote
Australian Accounting - Fresher,"Ahmedabad, Gujarat","₹15,000 - ₹50,000 a month",32500.0,,Ahmedabad,Gujarat
Accounts Assistant,"Kollam, Kerala","₹12,000 - ₹15,000 a month",13500.0,,Kollam,Kerala
Female Kannada Telecalling Associate,"Shimoga, Karnataka",Not specified,,,Shimoga,Karnataka
Trainee Application Support Executive (WFH),"Pune, Maharashtra","₹10,000 - ₹15,000 a month",12500.0,,Pune,Maharashtra
freshers Intern,"Amravati, Maharashtra",Not specified,,,Amravati,Maharashtra
Pay Per Click / Google Adwords Expert / Performance Marketing,"Okhla, Delhi, Delhi",Not specified,,Okhla,Delhi,Delhi
Marketing Assistant,Remote,"₹15,000 - ₹20,000 a month",17500.0,Remote,Remote,Remote
Ticketing Executive,"Kurukshetra, Haryana","₹10,000 - ₹22,000 a month",16000.0,,Kurukshetra,Haryana
Quality Analyst,"Saravanampatti, Coimbatore, Tamil Nadu",Not specified,,Saravanampatti,Coimbatore,Tamil Nadu
Software Trainee,"Chennai, Tamil Nadu","From ₹3,00,000 a year",,,Chennai,Tamil Nadu
Scientific Analyst - Trainee,Remote,Not specified,,Remote,Remote,Remote
Business Development Associate (BDA),"Peelamedu, Coimbatore, Tamil Nadu","₹12,000 - ₹25,000 a month",18500.0,Peelamedu,Coimbatore,Tamil Nadu
Trainee Software Engineer,"Bengaluru, Karnataka",Not specified,,,Bengaluru,Karnataka
Student Counsellor,"Kochi, Kerala","₹15,000 - ₹30,000 a month",22500.0,,Kochi,Kerala
